[2026-06-06 00:09:19.914] [INFO ] [METRICS] TickAvg: 3.192µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:09:24.915] [INFO ] [METRICS] TickAvg: 3.189µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:09:29.914] [INFO ] [METRICS] TickAvg: 3.19µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:09:34.914] [INFO ] [METRICS] TickAvg: 3.19µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:09:39.914] [INFO ] [METRICS] TickAvg: 3.187µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:09:44.914] [INFO ] [METRICS] TickAvg: 3.185µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:09:49.914] [INFO ] [METRICS] TickAvg: 3.182µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:09:54.914] [INFO ] [METRICS] TickAvg: 3.18µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:09:59.915] [INFO ] [METRICS] TickAvg: 3.184µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:10:04.914] [INFO ] [METRICS] TickAvg: 3.182µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:10:09.915] [INFO ] [METRICS] TickAvg: 3.179µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:10:14.915] [INFO ] [METRICS] TickAvg: 3.177µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:10:19.914] [INFO ] [METRICS] TickAvg: 3.174µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
